restaurant_id,restaurant_name,restaurant_address,restaurant_type,city_name,avg_price,rating,business_hours,recommended_food,queue_time,consumption_time,longitude,latitude,citycode
B0I3FAPCPA,额尔敦传统涮(成都招商大魔方店),天府大道北段1777号招商大魔方A馆6F,中餐厅,成都市,128.0,4.5,11:00-21:30,"胶原肥牛,鲜切羔羊肉,极品雪花牛肉,和牛A1,清水锅底,羔羊五花肉,烤包子,老火锅,羊肉串,牛肉",25,90.0,104.070936,30.574289,28
B0G2C99TFI,鲲曲·满晴川(泰达时代中心店),天府大道北段1288号泰达时代中心1栋3楼露台,中餐厅,成都市,466.0,4.6,10:00-14:00 17:00-22:00,川菜,25,90.0,104.066578,30.57679,28
B0HRYAGR86,锦城印象火锅酒楼(德商国际店),益州大道北段913号德商国际B座1层,中餐厅,成都市,140.0,4.6,11:00-23:00,"极品千层肚,生抠极品鹅肠,锦城嫩牛肉,印象冰粉,红糖糍粑,山椒牙签牛肉,锦城精排,内部午餐肉,方竹笋,双层肥牛",25,90.0,104.060242,30.57434,28
B0JK7HOAFA,韩叨叨首尔自助烤肉(锦城万达店),锦城大道666号万达广场4F4019号,韩国料理,成都市,62.0,4.7,10:30-21:30,"牛肉,烤肉,大排档,韩国料理",25,90.0,104.062976,30.576706,28
B0FFI4H36M,芭菲盛宴(锦城万达店),锦城大道666号奥克斯广场西区3层,中餐厅,成都市,149.0,4.6,11:30-14:30 17:30-21:00,"精品牛排,哈根达斯,极品三文鱼拼,炭烤生蚝,白灼虾,爬爬虾,大闸蟹,小黄鱼,甜点,港式蒸点",25,90.0,104.060511,30.576351,28
B0IKCSHR2P,南堂馆·新川菜(SKP店),天府大道北段2001号SKP商场E1002号G大道SKP方向,中餐厅,成都市,183.0,4.6,11:30-14:00 17:00-21:00,"小炒黄牛肉,牛肉,青椒,川菜",25,60.0,104.070862,30.569496,28
B0LUP70WSM,红鼎艳,天府大道北段地铁心岛站C口,火锅店,成都市,514.0,4.3,10:00-23:00,四川火锅,25,90.0,104.07164,30.575158,28
B0IKRSH3AB,湘上湘(成都SKP店),SKP美食大道二楼E2003号,中餐厅,成都市,171.0,4.8,11:00-22:00,"酸萝卜花胶炖土猪肚,老长沙臭豆腐,渔夫湘味臭桂鱼,株洲白丝瓜炒蛤蜊,鲜紫苏爆美蛙腿,酸萝卜炒肥肠,湘上湘鸿运当头,湘宴东安鸡,青椒炒攸县酱香干,浏阳豆辣坛香肉",25,70.0,104.070895,30.568987,28
B0HK25X28J,张公猛火·自贡爆炒(德商店),天府大道北段1480号9号楼4栋1层,中餐厅,成都市,87.0,4.5,11:00-21:00,"鸡爪,蘑菇,鸡肉,中餐",15,45.0,104.06008,30.573528,28
B0J6YH306T,新京熹·北京涮肉(成都SKP店),天府大道北段2001号成都SKP F1层美食大道一楼1001号,餐厅,成都市,212.0,4.7,11:30-21:30,"牛肉,羊肉,牛羊肉,羊肉串,麻酱,北京菜",25,90.0,104.071088,30.569563,28
B0IKCUQFJW,淮扬府·游园京梦(成都SKP店),中国自由贸易试验区成都高新区天府大道北段2001号(爱马仕南侧通道进入),中餐厅,成都市,185.0,4.6,11:00-21:00,"年糕,红烧肉,虾仁,豆腐,中餐",25,90.0,104.070875,30.569275,28
B0GKZR96HW,胖老汉新疆美食高新区店,益州大道1480号德商国际b座106号,中餐厅,成都市,81.0,4.2,10:00-22:00,"烤肉,羊肉,特色菜,羊肉串,大盘鸡,椒麻鸡,鸡肉,特色新疆菜",15,60.0,104.060124,30.573864,28
B001C8RO8Q,柴门头啖汤(锦城万达店),锦城大道666号奥克斯广场西区1层,中餐厅,成都市,100.0,4.5,10:00-22:00,"飘香榴莲酥,石锅酱萝卜,头啖汤,豆瓣鱼,酱烧老豆腐,小炒黄牛肉,贝母炖雪梨,杭笋老鸭汤,米椒乌鸡脚,豉椒蒸黄沙",25,60.0,104.06085,30.576207,28
B0IK5ZO55A,一坐一忘云南菜(成都skp店),天府大道北段2001号东馆E2006,餐厅,成都市,143.0,4.6,11:00-21:30,"牛肉,米线,鸡肉,云南菜",25,75.0,104.070782,30.568439,28
B0G0RSDR4K,椒香城门口老火锅(中航店),蜀锦路316号(孵化园地铁站出入口步行470米),中餐厅,成都市,83.0,4.5,09:30-02:00,"素菜,排骨,蛋炒饭,老火锅,重庆火锅,炒饭,毛肚,鸭血,牛肉",25,90.0,104.06145,30.577566,28
B0FFJEL036,牛华八婆麻辣烫(孵化园店),益州大道北段777号中航·国际交流中心F1层,中餐厅,成都市,86.0,4.8,10:30-24:00,"素菜,五花肉,串串,麻辣烫,杨枝甘露,鸭血,牛肉,蛋炒饭",25,60.0,104.061217,30.577563,28
B0J2BCS8AO,大院河·仙鱼荘(金融城店),益州大道北段777号3栋2层附2098号附2099号,中餐厅,成都市,86.0,4.6,10:00-22:00,"大院酥肉,大院卤鹅,通威花鲢无边鱼头,激情椒麻,大院宽粉,馋嘴红锅,通威花鲢,香酥平菇,三角峰,干香酸菜",25,90.0,104.062075,30.578275,28
B0JBY7UIUR,羲和·京致(北京烤鸭·精致中国菜),天府大道北段2001号成都SKP美食大道1F层最南侧E1009,中餐厅,成都市,163.0,4.5,11:00-14:00 16:30-21:00,"烤鸭,北京烤鸭,烤肉,北京菜",25,60.0,104.071029,30.567656,28
B0IGRCZLE8,新荣记(华商金融中心店),交子大道33号中国华商金融中心5楼(仅南门进),中餐厅,成都市,947.0,4.7,11:30-14:30 17:30-21:30,"点心,年糕,乳鸽,小蛋糕,红烧肉,2025snowman黑珍珠",25,120.0,104.06329,30.580647,28
B0H04DCNUW,蜀大侠火锅(中国华商店),交子大道33号4层F407号,中餐厅,成都市,130.0,4.6,10:00-22:00,"牛肉,虾滑,火锅",25,90.0,104.062968,30.581184,28
B0FFJQAV6T,匠和风精致料理(悠方店),交子大道300号悠方购物中心5F层,日本料理,成都市,284.0,4.7,11:00-14:30 17:00-22:00,"鹅肝,料理,鸡肉,寿司,特色菜,烤肉,刺身,牛肉,三文鱼,日料",25,90.0,104.058651,30.583212,28
B0KKCZMAV9,雍容荟帝王蟹活龙虾自助(in99银泰黑金店),天府大道北段1199号成都银泰中心L626+627,中餐厅,成都市,552.0,4.8,12:00-14:00 18:00-21:00,"鲜活波士顿龙虾,蓝鳍金枪鱼,哈根达斯,海星,白灼罗氏虾,北极甜虾,挪威厚切三文鱼,清蒸松叶蟹腿,乳山生蚝,黑虎虾",25,90.0,104.069352,30.584972,28
B0FFLDLJQG,悦百味·品质川菜(悠方店),交子大道300号悠方购物中心6楼620,中餐厅,成都市,188.0,4.7,09:30-22:00,"宜宾南瓜蛙,泡椒墨鱼仔,成都香辣蟹,悦味玲珑肉,藿香翘壳鱼,家常热窝土鸡,牛肉,下午茶,特色菜系",25,90.0,104.057146,30.583147,28
B0LA2CK7JY,新京熹·北京涮肉(成都华商店),武侯区中国(四川)自由贸易试验区成都高新区交子大道33号1楼106-109-110-2号铺位,中餐厅,成都市,219.0,4.6,11:30-21:30,"北京涮肉,涮羊肉",25,90.0,104.063164,30.581436,28
B0I01HVLKR,南亭荟月·花椒文化餐厅(华商金融中心店),交子大道33号华商中心3层,中餐厅,成都市,460.0,4.4,11:30-14:00 17:30-21:00,"鸡肉,川菜",25,90.0,104.063444,30.581439,28
B0H01OQYHO,天香千和.新川菜,中国华商金融中心4楼,中餐厅,成都市,168.0,4.4,11:00-14:00 17:00-21:00,"特色菜,鸡肉,中餐",15,60.0,104.062828,30.581512,28
B0IAGU92KF,MADO,交子大道99号(金融城地铁站B口步行240米),西餐厅,成都市,111.0,4.8,08:30-22:00,"点心,下午茶,西餐",25,60.0,104.061892,30.582121,28
B0IG1CFBGF,福满楼·Hokkien·福建菜(中国华商金融中心店),交子大道33号中国华商金融中心3楼北侧326商铺,中餐厅,成都市,403.0,4.8,11:30-14:00 17:30-21:00,"蟹肉,虾仁,鱿鱼,五花肉,甲鱼,鲍鱼,蟹黄,生蚝,佛跳墙,猪肉",25,90.0,104.063418,30.581585,28
B0JK4MFEF9,许家菜·蟹轩(成都双子塔店),天府大道北段966号天府金融国际中心北塔11号楼4层,中餐厅,成都市,297.0,4.8,11:00-14:00 17:00-22:30,"南充冬菜蒸红毛蟹,公主蟹,帝王蟹,鱼子酱松叶蟹肉塔塔,香糯米蒸膏蟹,鲍汁蚝皇,蟹肉小笼包,榄油椒麻罗氏虾,麻辣汁鲜鱿,酌酒十二盏",25,90.0,104.06508,30.582851,28
B0IKLZQWYL,匠和风精致料理(成都银泰IN99店),天府大道北段1199号5层513室,日本料理,成都市,288.0,4.8,11:00-14:30 17:00-22:00,"刺身,自助餐,料理,牛肉,芝士,三文鱼",25,90.0,104.070217,30.584834,28
B0J1O9P2UD,龙森园火锅(中国华商店),交子大道33号金融中心3楼319号铺面,中餐厅,成都市,250.0,4.4,11:00-22:00,"牛肉,火锅",25,90.0,104.062841,30.581558,28
B0K6UZO9NN,3号仓库·创意中国菜(新世界城店),南京西路2新世界城L4层,中餐厅,上海市,158.0,4.7,10:00-21:30,"原创红酒鹅肝烤鸭,星空之旅,柿柿如意,橙香乌龙茶,比得兔庄园,蒜香肋排,牛肉,点心,烤鸭,创意菜",25,90.0,121.473406,31.234884,21
B0G257X85E,巴奴毛肚火锅(上海人广来福士店),西藏中路268号裙楼06-01B06-02室,中餐厅,上海市,199.0,4.8,24小时营业,"经典毛肚,梅花肉,巴奴拽面,低温午餐肉,茴香小油条,内蒙草原羔羊,巴奴擀面皮,虾滑,鲜鸭血,新西兰毛肚",25,90.0,121.47715,31.232142,21
B0FFME80VA,Ministry Of Crab(人民公园店),南京西路231号人民公园内(芭芭露莎一楼),餐厅,上海市,514.0,4.6,11:00-23:00,"招牌,拌饭,大虾,蟹肉,黄油,东南亚菜",25,90.0,121.471851,31.231344,21
B0FFLFPZV5,很久以前羊肉串(南京路第一百货店),南京东路830号第一百货商业中心B馆6楼,中餐厅,上海市,94.0,4.8,11:00-01:00,"呼伦贝尔羊肉串,就是呼伦贝尔羊肉串,五花肉,羊肉串,牛肉,羊肉,烤肉,烧烤",25,90.0,121.474373,31.235746,21
B0K64HQF9I,费大厨辣椒炒肉(上海来福士广场店),西藏中路268号上海来福士广场L7层,中餐厅,上海市,90.0,4.7,11:00-21:00,"拌饭,鸡肉,青椒,排骨,辣椒炒肉,湘菜",25,45.0,121.476678,31.23231,21
B0FFJBC1US,肯德基(网易严选和平店),西藏中路268号来福士广场1F层(人民广场地铁站14号口旁),肯德基,上海市,41.0,4.5,06:00-23:00,"吮指原味鸡,新奥尔良烤鸡腿堡,薯条,可乐,香辣鸡翅,小食拼盘,玉米沙拉,红豆派,伴柠伴桔鲜果茶,黄金鸡块",10,25.0,121.476255,31.232901,21
B0KA6DGEAH,芸山季·云南野生菌火锅(人民广场来福士店),西藏中路268号上海来福士广场F6层,中餐厅,上海市,130.0,4.7,11:00-21:00,"牛肉,鸡肉,火锅",25,90.0,121.476897,31.232036,21
B00156DW2N,苏浙汇(南京西路店),南京西路288号创兴金融中心3层,中餐厅,上海市,196.0,4.7,11:00-22:00,"越式牛肉粒,清蒸鲥鱼,素鲍鱼,水晶虾仁,茶樟鸭,糖醋小排,苏浙汤包,蜜汁火方,杨枝甘露,熏鱼",25,90.0,121.470324,31.232222,21
B0IKHDDD53,毒蛇面馆(人民广场店),广西北路235号1层B座-2,中餐厅,上海市,45.0,4.7,10:00-22:30,"猪肝,牛肉,拌面,浇头,一碗面,中餐",5,25.0,121.477694,31.233049,21
B00155H99S,沈大成(南京东路店),南京东路街道南京路步行街636号,中餐厅,上海市,23.0,4.7,07:00-22:00,"条头糕,肉丝春卷,汤包,双酿团,青团,赤豆糕,肉丝两面黄,小笼包,金团,虾仁两面黄",5,15.0,121.478317,31.235726,21
B0GU5UVDV0,海底捞火锅(世茂广场店),南京东路789号世茂广场西区8层,中餐厅,上海市,101.0,4.6,10:00-07:00,"虾滑,自助餐,鸭血,毛肚,猪蹄,牛肉,羊肉,拉面,小酥肉,素菜",25,90.0,121.475924,31.234402,21
B0H23NQFZ5,西塔老太太泥炉烤肉(人广来福士店),西藏中路268号上海来福士广场L4层04-01E,韩国料理,上海市,150.0,4.7,10:00-22:00,"牛肉,烤肉,韩国料理",25,90.0,121.477316,31.232207,21
B0FFFWV1JJ,老瑞福上海菜(人民广场店),凤阳路238号(黄河路路口),中餐厅,上海市,90.0,4.6,10:30-14:00 16:00-21:00,"酥嫩苔条黄鱼,脆嫩手剥虾仁,七宝糟肉,毛蟹年糕,杏鲍菇“真牛”仔粒,鸿运当头八宝鸭,茄汁排条,神户牛肉打边炉,地道老浦东蒸三鲜,香滑南煎猪肝",25,70.0,121.471406,31.234099,21
B0JRLH5O6D,舒蔡记生煎菜饭(汕头路店),云南中路47号,中餐厅,上海市,17.0,4.5,07:30-19:30,"牛肉,生煎包,生煎,堂食,炒饭,小吃快餐",5,15.0,121.478723,31.229985,21
B0K6ULWFDH,北步园火锅(人民广场店),广西北路237号一层(人民广场地铁站14号口步行200米),中餐厅,上海市,120.0,4.7,11:00-02:00,"流心蛋炒饭,锤锤手工虾滑,超级麻辣牛肉,烧白/酱肉包,现推豆花,传统冰汤圆,樱花坛子奶茶,柠檬茶,豆花,牛肉",25,90.0,121.47766,31.233237,21
