accommodation_id,accommodation_name,accommodation_address,accommodation_type,city_name,avg_price,rating,feature_hotel_type,longitude,latitude,citycode
B023B14VOR,7天连锁酒店(杭州临平银泰店),临平北大街101号华轻大楼6-7层,经济型连锁酒店,杭州市,150,4.1,"经济型,低价实惠",120.302819,30.422414,571
B023B14DR8,布丁酒店(杭州火车东站艮山西路店),艮山西路200号(艮秋立交桥西北侧)距闸弄口新村公交站向东200米工商银行旁,经济型连锁酒店,杭州市,120,4.1,"经济型,低价实惠",120.197168,30.27668,571
B0FFL0BYY7,和轩道酒店(杭州火车东站东广场店),东宁路杭州火车东站东广场(站内)10号电梯G层直达,酒店,杭州市,220,4.9,经济型,120.21475,30.293254,571
B0FFLIDFSE,布丁严选(杭州武林广场打铁关地铁站店),建国北路695号京都苑18号,经济型连锁酒店,杭州市,150,4.5,快捷酒店,120.176958,30.276869,571
B023B0BFZ9,杭州缘佳宾馆(经纬国际创意产业园店),石桥路303号,酒店,杭州市,120,4.0,"旅馆,低价实惠",120.192768,30.326972,571
B023B0BPT4,布丁酒店(杭州萧山博奥地铁站店),金城路83号中冠置地大厦1层,经济型连锁酒店,杭州市,120,3.7,经济型,120.241637,30.183089,571
B0JUL7RQM1,杭州拣枝而栖青年旅舍(杭州武林广场宝善桥地铁站店),潮鸣街道刀矛巷裕达大厦6楼,招待所,杭州市,85,4.9,青年旅舍,120.18605,30.27084,571
B023B0BCMM,杭州西子湖四季酒店,灵隐路5号,五星级酒店,杭州市,6600,4.7,"豪华型,亲子酒店",120.128537,30.251363,571
B023B149YA,7天连锁酒店(杭州汽车北站万达广场店),花园岗街209号(广丰路与崇海路的交叉口),经济型连锁酒店,杭州市,150,4.0,"经济型,7天特惠",120.119035,30.321449,571
B0KKJAY75W,印象X酒店(杭州潮王路地铁站店),德胜路353号远大花园18幢,经济型连锁酒店,杭州市,160,4.4,经济型,120.154592,30.292058,571
B023B0BEOE,杭州宁都宾馆(西湖河坊街店),江城路673号(吴山广场旁),招待所,杭州市,150,4.2,经济型,120.176957,30.236967,571
