city_id,up_ad_name,up_ad_code,cityname,adcode,citycode
130709_0313,,,崇礼区,130709,0313
130722_0313,,,张北县,130722,0313
130723_0313,,,康保县,130723,0313
130724_0313,,,沽源县,130724,0313
130725_0313,,,尚义县,130725,0313
130726_0313,,,蔚县,130726,0313
130727_0313,,,阳原县,130727,0313
130728_0313,,,怀安县,130728,0313
130730_0313,,,怀来县,130730,0313
130731_0313,,,涿鹿县,130731,0313
130732_0313,,,赤城县,130732,0313
130800_0314,,,承德市,130800,0314
130802_0314,,,双桥区,130802,0314
130803_0314,,,双滦区,130803,0314
130804_0314,,,鹰手营子矿区,130804,0314
130821_0314,,,承德县,130821,0314
130822_0314,,,兴隆县,130822,0314
130824_0314,,,滦平县,130824,0314
130825_0314,,,隆化县,130825,0314
130826_0314,,,丰宁满族自治县,130826,0314
130827_0314,,,宽城满族自治县,130827,0314
130828_0314,,,围场满族蒙古族自治县,130828,0314
130881_0314,,,平泉市,130881,0314
130900_0317,,,沧州市,130900,0317
130902_0317,,,新华区,130902,0317
130903_0317,,,运河区,130903,0317
130921_0317,,,沧县,130921,0317
130922_0317,,,青县,130922,0317
130923_0317,,,东光县,130923,0317
130924_0317,,,海兴县,130924,0317
130925_0317,,,盐山县,130925,0317
130926_0317,,,肃宁县,130926,0317
130927_0317,,,南皮县,130927,0317
130928_0317,,,吴桥县,130928,0317
130929_0317,,,献县,130929,0317
130930_0317,,,孟村回族自治县,130930,0317
130981_0317,,,泊头市,130981,0317
130982_0317,,,任丘市,130982,0317
130983_0317,,,黄骅市,130983,0317
130984_0317,,,河间市,130984,0317
131000_0316,,,廊坊市,131000,0316
131002_0316,,,安次区,131002,0316
131003_0316,,,广阳区,131003,0316
131022_0316,,,固安县,131022,0316
131023_0316,,,永清县,131023,0316
131024_0316,,,香河县,131024,0316
131025_0316,,,大城县,131025,0316
131026_0316,,,文安县,131026,0316
131028_0316,,,大厂回族自治县,131028,0316
131081_0316,,,霸州市,131081,0316
131082_0316,,,三河市,131082,0316
131100_0318,,,衡水市,131100,0318
131102_0318,,,桃城区,131102,0318
131103_0318,,,冀州区,131103,0318
131121_0318,,,枣强县,131121,0318
131122_0318,,,武邑县,131122,0318
131123_0318,,,武强县,131123,0318
131124_0318,,,饶阳县,131124,0318
131125_0318,,,安平县,131125,0318
131126_0318,,,故城县,131126,0318
131127_0318,,,景县,131127,0318
131128_0318,,,阜城县,131128,0318
131182_0318,,,深州市,131182,0318
140000_\N,,,山西省,140000,\N
140100_0351,,,太原市,140100,0351
140105_0351,,,小店区,140105,0351
140106_0351,,,迎泽区,140106,0351
140107_0351,,,杏花岭区,140107,0351
140108_0351,,,尖草坪区,140108,0351
140109_0351,,,万柏林区,140109,0351
140110_0351,,,晋源区,140110,0351
140121_0351,,,清徐县,140121,0351
140122_0351,,,阳曲县,140122,0351
140123_0351,,,娄烦县,140123,0351
140181_0351,,,古交市,140181,0351
140200_0352,,,大同市,140200,0352
140212_0352,,,新荣区,140212,0352
140213_0352,,,平城区,140213,0352
140214_0352,,,云冈区,140214,0352
140215_0352,,,云州区,140215,0352
140221_0352,,,阳高县,140221,0352
140222_0352,,,天镇县,140222,0352
140223_0352,,,广灵县,140223,0352
140224_0352,,,灵丘县,140224,0352
140225_0352,,,浑源县,140225,0352
140226_0352,,,左云县,140226,0352
140300_0353,,,阳泉市,140300,0353
140302_0353,,,城区,140302,0353
140303_0353,,,矿区,140303,0353
140311_0353,,,郊区,140311,0353
140321_0353,,,平定县,140321,0353
140322_0353,,,盂县,140322,0353
140400_0355,,,长治市,140400,0355
140403_0355,,,潞州区,140403,0355
140404_0355,,,上党区,140404,0355
140405_0355,,,屯留区,140405,0355
140406_0355,,,潞城区,140406,0355
140423_0355,,,襄垣县,140423,0355
140425_0355,,,平顺县,140425,0355
140426_0355,,,黎城县,140426,0355
140427_0355,,,壶关县,140427,0355
140428_0355,,,长子县,140428,0355
140429_0355,,,武乡县,140429,0355
140430_0355,,,沁县,140430,0355
140431_0355,,,沁源县,140431,0355
140500_0356,,,晋城市,140500,0356
140502_0356,,,城区,140502,0356
140521_0356,,,沁水县,140521,0356
140522_0356,,,阳城县,140522,0356
140524_0356,,,陵川县,140524,0356
140525_0356,,,泽州县,140525,0356
140581_0356,,,高平市,140581,0356
140600_0349,,,朔州市,140600,0349
140602_0349,,,朔城区,140602,0349
140603_0349,,,平鲁区,140603,0349
140621_0349,,,山阴县,140621,0349
140622_0349,,,应县,140622,0349
140623_0349,,,右玉县,140623,0349
140681_0349,,,怀仁市,140681,0349
140700_0354,,,晋中市,140700,0354
